season_stage,player,gp,gaa,svp,team,teamid,playerid,year,url,shortname,league
EOJBHL,Evan Morris,22,7.76,0.0,AKW,5684,457505,2005-2006,https://www.eliteprospects.com/player/457505/evan-morris,evan-morris,CCHL2
EOJBHL,Will McIntyre,5,8.6,0.0,ATH,3518,171493,2005-2006,https://www.eliteprospects.com/player/171493/will-mcintyre,will-mcintyre,CCHL2
EOJBHL,Johnathan Sourwine,19,0.0,0.0,GAN,6240,60142,2005-2006,https://www.eliteprospects.com/player/60142/johnathan-sourwine,johnathan-sourwine,CCHL2
EOJBHL,J.J. Gargour,27,4.44,0.0,MOR,9176,573244,2005-2006,https://www.eliteprospects.com/player/573244/j.j.-gargour,j.j.-gargour,CCHL2
EOJBHL,Josselin St. Pierre,24.0,3.68,0.0,ALE,6623,89721,2006-2007,https://www.eliteprospects.com/player/89721/josselin-st.-pierre,josselin-st.-pierre,CCHL2
EOJBHL,Simon Labelle,8.0,3.5,0.0,CAR,8670,653357,2006-2007,https://www.eliteprospects.com/player/653357/simon-labelle,simon-labelle,CCHL2
EOJBHL,Simon Labelle,3.0,2.48,0.0,CLA,24541,653357,2006-2007,https://www.eliteprospects.com/player/653357/simon-labelle,simon-labelle,CCHL2
EOJBHL,David Goulet,20.0,4.69,0.0,GAT,10381,283498,2006-2007,https://www.eliteprospects.com/player/283498/david-goulet,david-goulet,CCHL2
EOJBHL,Simon Labelle,2.0,4.94,0.0,GAT,10381,653357,2006-2007,https://www.eliteprospects.com/player/653357/simon-labelle,simon-labelle,CCHL2
EOJBHL,Francis Bourgeois,2.0,0.0,0.0,MET,6310,317213,2006-2007,https://www.eliteprospects.com/player/317213/francis-bourgeois,francis-bourgeois,CCHL2
EOJBHL,Dave Labaff,0.0,0.0,0.0,SOU,24543,55121,2006-2007,https://www.eliteprospects.com/player/55121/dave-labaff,dave-labaff,CCHL2
EOJBHL,Max Desjardins,34.0,3.61,0.0,SOU,7155,443430,2006-2007,https://www.eliteprospects.com/player/443430/max-desjardins,max-desjardins,CCHL2
EOJBHL,Josselin St. Pierre,30,3.6,0.0,ALE,6623,89721,2007-2008,https://www.eliteprospects.com/player/89721/josselin-st.-pierre,josselin-st.-pierre,CCHL2
EOJBHL,John-Joseph Patafie,13,3.47,0.89,CAR,8670,639165,2007-2008,https://www.eliteprospects.com/player/639165/john-joseph-patafie,john-joseph-patafie,CCHL2
EOJBHL,Morgan Barr,8,2.25,0.9209999999999999,CLA,24541,77915,2007-2008,https://www.eliteprospects.com/player/77915/morgan-barr,morgan-barr,CCHL2
EOJBHL,Israel Bernier-Dion,27,2.77,0.902,GAT,10381,162850,2007-2008,https://www.eliteprospects.com/player/162850/israel-bernier-dion,israel-bernier-dion,CCHL2
EOJBHL,Francis Bourgeois,14,5.52,0.0,MET,6310,317213,2007-2008,https://www.eliteprospects.com/player/317213/francis-bourgeois,francis-bourgeois,CCHL2
EOJBHL,Rob Dier,22,3.38,0.8959999999999999,PER,6846,758495,2007-2008,https://www.eliteprospects.com/player/758495/rob-dier,rob-dier,CCHL2
EOJBHL,Joel Grills,35.0,5.0,0.847,ARN,6848,78206,2008-2009,https://www.eliteprospects.com/player/78206/joel-grills,joel-grills,CCHL2
EOJBHL,Eric Lepage,0.0,0.0,0.0,ATH,3518,641797,2008-2009,https://www.eliteprospects.com/player/641797/eric-lepage,eric-lepage,CCHL2
