season_stage,player,gp,g,a,tp,pim,pm,position,team,teamid,playerid,year,url,shortname,gpg,apg,ppg,perc_team_g,perc_team_a,perc_team_tp,league
EOJBHL,Nathan Mondoux,38.0,16.0,16.0,32.0,25.0,0.0,['F'],AKW,5684,639121,2005-2006,https://www.eliteprospects.com/player/639121/nathan-mondoux,nathan-mondoux,0.421,0.421,0.842,0.421,0.323,0.366,CCHL2
EOJBHL,Corey Thomas,43.0,10.0,13.0,23.0,47.0,0.0,['F'],AKW,5684,639319,2005-2006,https://www.eliteprospects.com/player/639319/corey-thomas,corey-thomas,0.233,0.302,0.535,0.233,0.232,0.232,CCHL2
EOJBHL,Sam Ramond,9.0,11.0,4.0,15.0,42.0,0.0,['F'],AKW,5684,627920,2005-2006,https://www.eliteprospects.com/player/627920/sam-ramond,sam-ramond,1.222,0.444,1.667,1.222,0.341,0.724,CCHL2
EOJBHL,Kale Perry,34.0,1.0,14.0,15.0,34.0,0.0,['D'],AKW,5684,639041,2005-2006,https://www.eliteprospects.com/player/639041/kale-perry,kale-perry,0.029,0.412,0.441,0.029,0.316,0.192,CCHL2
EOJBHL,Aronhiaies Herner,33.0,3.0,7.0,10.0,37.0,0.0,['F'],AKW,5684,792917,2005-2006,https://www.eliteprospects.com/player/792917/aronhiaies-herner,aronhiaies-herner,0.091,0.212,0.303,0.091,0.163,0.132,CCHL2
EOJBHL,Rafaël Dorval-Leclerc,1.0,2.0,2.0,4.0,0.0,0.0,['F'],AKW,5684,232398,2005-2006,https://www.eliteprospects.com/player/232398/rafael-dorval-leclerc,rafael-dorval-leclerc,2.0,2.0,4.0,2.0,1.536,1.737,CCHL2
EOJBHL,Alex Leclair,3.0,0.0,0.0,0.0,0.0,0.0,['F'],AKW,5684,792907,2005-2006,https://www.eliteprospects.com/player/792907/alex-leclair,alex-leclair,0.0,0.0,0.0,0.0,0.0,0.0,CCHL2
EOJBHL,Jean-François Fournier,43.0,33.0,36.0,69.0,49.0,0.0,['F'],ALE,6623,317314,2005-2006,https://www.eliteprospects.com/player/317314/jean-francois-fournier,jean-francois-fournier,0.767,0.837,1.605,0.194,0.148,0.167,CCHL2
EOJBHL,Eric Morter,45.0,24.0,38.0,62.0,82.0,0.0,['C'],ALE,6623,536535,2005-2006,https://www.eliteprospects.com/player/536535/eric-morter,eric-morter,0.533,0.844,1.378,0.135,0.15,0.144,CCHL2
EOJBHL,Alain Michaud,45.0,28.0,33.0,61.0,105.0,0.0,['RW'],ALE,6623,404816,2005-2006,https://www.eliteprospects.com/player/404816/alain-michaud,alain-michaud,0.622,0.733,1.356,0.157,0.13,0.141,CCHL2
EOJBHL,Rejean Leduc,42.0,22.0,33.0,55.0,37.0,0.0,['F'],ALE,6623,627921,2005-2006,https://www.eliteprospects.com/player/627921/rejean-leduc,rejean-leduc,0.524,0.786,1.31,0.132,0.139,0.136,CCHL2
EOJBHL,Nick Adam,36.0,25.0,24.0,49.0,65.0,0.0,['F'],ALE,6623,792926,2005-2006,https://www.eliteprospects.com/player/792926/nick-adam,nick-adam,0.694,0.667,1.361,0.176,0.118,0.142,CCHL2
EOJBHL,Patrice Brunet,31.0,16.0,25.0,41.0,73.0,0.0,['D'],ALE,6623,102393,2005-2006,https://www.eliteprospects.com/player/102393/patrice-brunet,patrice-brunet,0.516,0.806,1.323,0.13,0.143,0.138,CCHL2
EOJBHL,Jami Jean-Louis,34.0,14.0,24.0,38.0,12.0,0.0,['D'],ALE,6623,249131,2005-2006,https://www.eliteprospects.com/player/249131/jami-jean-louis,jami-jean-louis,0.412,0.706,1.118,0.104,0.125,0.116,CCHL2
EOJBHL,Bruce Best,43.0,11.0,21.0,32.0,72.0,0.0,['C'],ALE,6623,208248,2005-2006,https://www.eliteprospects.com/player/208248/bruce-best,bruce-best,0.256,0.488,0.744,0.065,0.087,0.078,CCHL2
EOJBHL,Guy L'Heureux,18.0,5.0,20.0,25.0,33.0,0.0,['F'],ALE,6623,295772,2005-2006,https://www.eliteprospects.com/player/295772/guy-l-heureux,guy-l-heureux,0.278,1.111,1.389,0.07,0.197,0.145,CCHL2
