team,teamid,season,shortname,league,url,gp,w,t,l,otw,otl,gf,ga,gd,tp
 Akwesasne Wolves,5684,2005-2006,akwesasne-wolves,CCHL2,https://www.eliteprospects.com/team/5684/akwesasne-wolves/2005-2006,45,1,1.0,42,0.0,1,136,375,-239,4
 Alexandria Glens,6623,2005-2006,alexandria-glens,CCHL2,https://www.eliteprospects.com/team/6623/alexandria-glens/2005-2006,45,30,3.0,11,0.0,1,248,163,85,64
 Arnprior Packers,6848,2005-2006,arnprior-packers,CCHL2,https://www.eliteprospects.com/team/6848/arnprior-packers/2005-2006,40,5,2.0,33,0.0,0,110,226,-116,12
 Athens Aeros,3518,2005-2006,athens-aeros,CCHL2,https://www.eliteprospects.com/team/3518/athens-aeros/2005-2006,42,7,2.0,32,0.0,1,164,308,-144,17
 Brockville Tikis,5683,2005-2006,brockville-tikis,CCHL2,https://www.eliteprospects.com/team/5683/brockville-tikis/2005-2006,42,19,2.0,19,0.0,2,203,169,34,42
 Carleton Place Kings,8670,2005-2006,carleton-place-kings,CCHL2,https://www.eliteprospects.com/team/8670/carleton-place-kings/2005-2006,40,19,2.0,17,0.0,2,166,151,15,42
 Char-Lan Rebels,6851,2005-2006,char-lan-rebels,CCHL2,https://www.eliteprospects.com/team/6851/char-lan-rebels/2005-2006,45,16,2.0,24,0.0,3,203,261,-58,37
 Clarence Beavers,24541,2005-2006,clarence-beavers,CCHL2,https://www.eliteprospects.com/team/24541/clarence-beavers/2005-2006,39,31,1.0,7,0.0,0,219,127,92,63
 Gananoque Islanders,6240,2005-2006,gananoque-islanders,CCHL2,https://www.eliteprospects.com/team/6240/gananoque-islanders/2005-2006,42,14,2.0,23,0.0,3,206,217,-11,33
 Gatineau Mustangs,10381,2005-2006,gatineau-mustangs,CCHL2,https://www.eliteprospects.com/team/10381/gatineau-mustangs/2005-2006,40,11,1.0,25,0.0,3,162,225,-63,26
 Kemptville 73's,4349,2005-2006,kemptville-73-s,CCHL2,https://www.eliteprospects.com/team/4349/kemptville-73-s/2005-2006,45,31,0.0,12,0.0,2,293,196,97,64
 Metcalfe Jets,6310,2005-2006,metcalfe-jets,CCHL2,https://www.eliteprospects.com/team/6310/metcalfe-jets/2005-2006,40,20,2.0,16,0.0,2,185,184,1,44
 Morrisburg Lions,9176,2005-2006,morrisburg-lions,CCHL2,https://www.eliteprospects.com/team/9176/morrisburg-lions/2005-2006,45,25,2.0,17,0.0,1,265,220,45,53
 Ottawa West Golden Knights,6850,2005-2006,ottawa-west-golden-knights,CCHL2,https://www.eliteprospects.com/team/6850/ottawa-west-golden-knights/2005-2006,39,27,2.0,9,0.0,1,187,124,63,57
 Perth Blue Wings,6846,2005-2006,perth-blue-wings,CCHL2,https://www.eliteprospects.com/team/6846/perth-blue-wings/2005-2006,39,25,3.0,8,0.0,3,174,115,59,56
 Renfrew Timberwolves,6434,2005-2006,renfrew-timberwolves,CCHL2,https://www.eliteprospects.com/team/6434/renfrew-timberwolves/2005-2006,40,20,0.0,18,0.0,2,148,157,-9,42
 Shawville Pontiacs,6344,2005-2006,shawville-pontiacs,CCHL2,https://www.eliteprospects.com/team/6344/shawville-pontiacs/2005-2006,39,17,1.0,21,0.0,0,130,158,-28,35
 South Grenville Rangers,24543,2005-2006,south-grenville-rangers,CCHL2,https://www.eliteprospects.com/team/24543/south-grenville-rangers/2005-2006,42,32,1.0,8,0.0,1,264,132,132,66
 South Ottawa Canadians,7155,2005-2006,south-ottawa-canadians,CCHL2,https://www.eliteprospects.com/team/7155/south-ottawa-canadians/2005-2006,40,18,0.0,17,0.0,5,176,176,0,41
 Stittsville Royals,6849,2005-2006,stittsville-royals,CCHL2,https://www.eliteprospects.com/team/6849/stittsville-royals/2005-2006,40,16,4.0,18,0.0,2,160,174,-14,38
 Westport Rideaus,9701,2005-2006,westport-rideaus,CCHL2,https://www.eliteprospects.com/team/9701/westport-rideaus/2005-2006,42,35,1.0,5,0.0,1,323,154,169,72
 Winchester Hawks,5867,2005-2006,winchester-hawks,CCHL2,https://www.eliteprospects.com/team/5867/winchester-hawks/2005-2006,45,22,4.0,18,0.0,1,182,196,-14,49
 Akwesasne Wolves,5684,2006-2007,akwesasne-wolves,CCHL2,https://www.eliteprospects.com/team/5684/akwesasne-wolves/2006-2007,40,9,2.0,27,0.0,2,154,257,-103,22
 Alexandria Glens,6623,2006-2007,alexandria-glens,CCHL2,https://www.eliteprospects.com/team/6623/alexandria-glens/2006-2007,40,30,3.0,5,0.0,2,263,145,118,65
 Arnprior Packers,6848,2006-2007,arnprior-packers,CCHL2,https://www.eliteprospects.com/team/6848/arnprior-packers/2006-2007,40,8,3.0,28,0.0,1,142,238,-96,20
 Athens Aeros,3518,2006-2007,athens-aeros,CCHL2,https://www.eliteprospects.com/team/3518/athens-aeros/2006-2007,44,13,5.0,26,0.0,0,169,229,-60,31
 Brockville Tikis,5683,2006-2007,brockville-tikis,CCHL2,https://www.eliteprospects.com/team/5683/brockville-tikis/2006-2007,44,24,5.0,13,0.0,2,218,159,59,55
 Carleton Place Kings,8670,2006-2007,carleton-place-kings,CCHL2,https://www.eliteprospects.com/team/8670/carleton-place-kings/2006-2007,40,13,5.0,20,0.0,2,159,204,-45,33
 Char-Lan Rebels,6851,2006-2007,char-lan-rebels,CCHL2,https://www.eliteprospects.com/team/6851/char-lan-rebels/2006-2007,40,8,2.0,30,0.0,0,133,236,-103,18
 Clarence Castors,24541,2006-2007,clarence-castors,CCHL2,https://www.eliteprospects.com/team/24541/clarence-castors/2006-2007,40,27,1.0,12,0.0,0,210,139,71,55
 Gananoque Islanders,6240,2006-2007,gananoque-islanders,CCHL2,https://www.eliteprospects.com/team/6240/gananoque-islanders/2006-2007,44,24,2.0,16,0.0,2,205,171,34,52
 Gatineau Mustangs,10381,2006-2007,gatineau-mustangs,CCHL2,https://www.eliteprospects.com/team/10381/gatineau-mustangs/2006-2007,40,25,0.0,14,0.0,1,229,164,65,51
 Kemptville 73's,4349,2006-2007,kemptville-73-s,CCHL2,https://www.eliteprospects.com/team/4349/kemptville-73-s/2006-2007,40,21,2.0,15,0.0,2,217,179,38,46
 Metcalfe Jets,6310,2006-2007,metcalfe-jets,CCHL2,https://www.eliteprospects.com/team/6310/metcalfe-jets/2006-2007,40,10,1.0,28,0.0,1,140,232,-92,22
 Morrisburg Lions,9176,2006-2007,morrisburg-lions,CCHL2,https://www.eliteprospects.com/team/9176/morrisburg-lions/2006-2007,40,24,1.0,14,0.0,1,257,208,49,50
 Ottawa West Golden Knights,6850,2006-2007,ottawa-west-golden-knights,CCHL2,https://www.eliteprospects.com/team/6850/ottawa-west-golden-knights/2006-2007,40,24,1.0,15,0.0,0,168,141,27,49
 Perth Blue Wings,6846,2006-2007,perth-blue-wings,CCHL2,https://www.eliteprospects.com/team/6846/perth-blue-wings/2006-2007,40,18,2.0,17,0.0,3,156,165,-9,41
 Renfrew Timberwolves,6434,2006-2007,renfrew-timberwolves,CCHL2,https://www.eliteprospects.com/team/6434/renfrew-timberwolves/2006-2007,40,18,3.0,18,0.0,1,175,158,17,40
 Shawville Pontiacs,6344,2006-2007,shawville-pontiacs,CCHL2,https://www.eliteprospects.com/team/6344/shawville-pontiacs/2006-2007,40,23,1.0,13,0.0,3,204,172,32,50
 South Grenville Rangers,24543,2006-2007,south-grenville-rangers,CCHL2,https://www.eliteprospects.com/team/24543/south-grenville-rangers/2006-2007,44,8,2.0,33,0.0,1,148,287,-139,19
 South Ottawa Canadians,7155,2006-2007,south-ottawa-canadians,CCHL2,https://www.eliteprospects.com/team/7155/south-ottawa-canadians/2006-2007,40,24,1.0,14,0.0,1,216,155,61,50
 Stittsville Royals,6849,2006-2007,stittsville-royals,CCHL2,https://www.eliteprospects.com/team/6849/stittsville-royals/2006-2007,40,23,1.0,13,0.0,3,204,172,32,50
 Westport Rideaus,9701,2006-2007,westport-rideaus,CCHL2,https://www.eliteprospects.com/team/9701/westport-rideaus/2006-2007,44,24,5.0,14,0.0,1,211,167,44,54
 Winchester Hawks,5867,2006-2007,winchester-hawks,CCHL2,https://www.eliteprospects.com/team/5867/winchester-hawks/2006-2007,40,30,1.0,9,0.0,0,225,162,63,61
 Akwesasne Wolves,5684,2007-2008,akwesasne-wolves,CCHL2,https://www.eliteprospects.com/team/5684/akwesasne-wolves/2007-2008,41,5,3.0,32,0.0,1,114,202,-88,14
 Alexandria Glens,6623,2007-2008,alexandria-glens,CCHL2,https://www.eliteprospects.com/team/6623/alexandria-glens/2007-2008,42,31,0.0,10,0.0,1,246,139,107,63
 Arnprior Packers,6848,2007-2008,arnprior-packers,CCHL2,https://www.eliteprospects.com/team/6848/arnprior-packers/2007-2008,40,7,3.0,30,0.0,0,123,232,-109,17
 Athens Aeros,3518,2007-2008,athens-aeros,CCHL2,https://www.eliteprospects.com/team/3518/athens-aeros/2007-2008,42,27,4.0,10,0.0,1,193,144,49,59
 Brockville Tikis,5683,2007-2008,brockville-tikis,CCHL2,https://www.eliteprospects.com/team/5683/brockville-tikis/2007-2008,42,14,5.0,21,0.0,2,167,198,-31,35
 Carleton Place Kings,8670,2007-2008,carleton-place-kings,CCHL2,https://www.eliteprospects.com/team/8670/carleton-place-kings/2007-2008,39,25,3.0,10,0.0,1,176,135,41,54
 Char-Lan Rebels,6851,2007-2008,char-lan-rebels,CCHL2,https://www.eliteprospects.com/team/6851/char-lan-rebels/2007-2008,42,15,4.0,20,0.0,3,172,211,-39,37
 Clarence Castors,24541,2007-2008,clarence-castors,CCHL2,https://www.eliteprospects.com/team/24541/clarence-castors/2007-2008,40,27,0.0,10,0.0,3,195,139,56,57
 Gananoque Islanders,6240,2007-2008,gananoque-islanders,CCHL2,https://www.eliteprospects.com/team/6240/gananoque-islanders/2007-2008,42,21,3.0,17,0.0,1,171,166,5,46
